OTU	Domain	Phylum	Class	Order	Family	Genus	Species
ASV2713	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	?
ASV2688	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
ASV2700	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
ASV2686	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea	?
ASV2693	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
ASV2709	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas	?
ASV2703	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] eligens group	?
ASV2670	Bacteria	Firmicutes	Clostridia	?	?	?	?
ASV2678	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group	Eubacterium brachy
ASV2696	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
ASV2682	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	?
ASV2679	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
ASV2657	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	?	?
ASV2660	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	?
ASV2671	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Parascardovia	Parascardovia denticolens
ASV2668	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	[Clostridium] saccharogumia
ASV2677	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured Bacteroidales bacterium	?
ASV2665	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Schaalia odontolytica
ASV2651	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	?	?
ASV2683	Eukaryota	Vertebrata	Mammalia	?	?	?	?
ASV2650	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	?
ASV2676	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
ASV2653	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	?	?	?
ASV2637	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
ASV2638	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	V9D2013 group	?
ASV2636	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	?	?	?
ASV2666	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
ASV2647	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	?
ASV2640	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
ASV2634	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	uncultured organism
ASV2641	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia coli
ASV2644	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	?
ASV2630	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
ASV2635	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	?
ASV2629	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	?
ASV2610	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	?
ASV2626	Bacteria	Chloroflexi	AD3	uncultured Chloroflexi bacterium	?	?	?
ASV2592	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	?
ASV2620	Bacteria	Actinobacteriota	?	?	?	?	?
ASV2616	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	?
ASV2598	Bacteria	Proteobacteria	?	?	?	?	?
ASV2603	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	?	?
ASV2600	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	?	?
ASV2607	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
ASV2599	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	?
ASV2614	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	?	?
ASV2621	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	?
