Class	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL7	SMPL8	SMPL9
Archaea;Crenarchaeota;Nitrososphaeria	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	905	0	0	1154	595	0	0	0	0	0	2305	0	386	0	0	0	2	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;?;?	0	0	0	0	0	0	0	1	11051	0	0	2	0	0	0	0	0	3	0	0	0	0	0	43819	0	0	0	0	0	0	157	0	0	0	185	3241	0	0	0	0	525	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Acidobacteria;Acidobacteriia	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;?	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae	0	0	0	0	0	0	0	0	823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Blastocatellia	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Holophagae	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Subgroup 18	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Vicinamibacteria	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria	873	1591	2	0	5440	2	0	57	793	22	0	2	93	2	4	112	1	0	1	614	2	3	896	4	0	58	2908	0	29	1	1	820	1292	2	25	0	0	1	5173	84	13	1	0	0	2064	2	3	47	6	1789	0	3	3	4432	8	5268	0	0	1904	2692
Bacteria;Actinobacteriota;?	62	0	0	0	0	0	16	113	136	0	1	0	36	0	0	0	0	0	0	0	0	0	1	28	0	1	0	0	5	3	0	9	4	6	0	0	0	0	0	3	8	0	1	0	0	5	0	1	3502	4	4	0	0	1	6	0	0	4	3	5
Bacteria;Actinobacteriota;Acidimicrobiia	0	0	0	0	0	0	0	0	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria	2336	1087	16	15424	20008	1183	16591	21608	5096	63447	2361	20563	7234	87	2634	20292	812	1540	1749	13764	418	22988	3433	7279	70	14787	28	17807	211	6989	13678	24663	1705	551	43131	333	14	29	3885	5558	2809	8672	3134	16426	2046	7992	8940	1831	12069	523	10812	128	2509	8284	22214	3303	14581	21	2240	7568
Bacteria;Actinobacteriota;Coriobacteriia	6842	483	1	2735	0	0	1016	2573	9951	0	838	0	16138	0	328	0	1	1	27767	61	2279	562	6875	6599	1	5299	1389	878	2583	8480	51	26680	3169	5686	8	776	14	161	571	3155	10515	3	2167	6	451	1028	67	529	7	1069	2296	2350	98	9329	4851	1408	1	189	6134	1327
Bacteria;Actinobacteriota;MB-A2-108	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Thermoleophilia	0	0	0	0	0	0	0	0	793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia	794	46	0	0	9	27	163	387	11	1	210	0	263	0	135	28	0	0	0	3	37	22	13	565	0	7	3	26	16	28	7	14	3	14	0	3	0	8	8	6	36	1	64	1	17	464	19	9	29	20	6	0	54	13	34	25	291	61	171	687
Bacteria;Bacteroidota;?	129	1	0	0	0	0	72	0	2	0	16	0	54	0	2	0	0	0	0	0	0	0	6	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	60	2	0	0	3	1	3	0	5	4	2	0	5	1	22
Bacteria;Bacteroidota;Bacteroidia	42844	77192	1	3541	2443	100	27834	4211	69035	40	121694	1905	43651	2569	4566	928	7	2	14037	46485	64251	3545	38197	3543	176	45356	106784	2831	4587	74417	57844	2619	58495	2220	72	92133	41	33	54734	75761	37196	0	62457	171	58678	86740	66359	84326	13921	55471	29668	77996	289	66041	18896	70420	53543	97885	49398	13847
Bacteria;Bdellovibrionota;Bdellovibrionia	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Campylobacterota;Campylobacteria	2	1	0	222	0	0	60	0	0	0	0	0	96	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	140	0	0	0	1	0	5	0	1	0	28	0	2	0
Bacteria;Chloroflexi;?	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;AD3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
