OTU	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59
ASV1	151	10	206	66	59484	0	1696	98	10	1	155539	107096	22568	3957	1033	3389	526	42367	867	96494	94613	15704	20402	16730	17670	20245	662	0	1244	1	0	60	1737	2210	54089	0	6	0	12	2	3721	0	9935	166	153	7	22439	41	34583	40	1	12	8108	74	215	1966	20517	30	811	1
ASV2	21382	7810	12926	15026	0	6146	2002	21855	8850	9976	0	6029	0	50863	43001	8217	11647	24	6490	0	0	2991	11	0	0	0	24102	6225	50063	21106	38	12672	13023	9	3916	18399	23771	2177	20826	10	26576	6	79195	4269	14934	10322	0	10342	32696	7313	3509	19789	11672	37302	17184	19472	536	11275	16274	11316
ASV3	1978	509	3405	7445	10765	15583	0	0	0	9525	2	11817	2274	0	0	12913	1232	59	3718	118	0	0	1000	0	0	13281	36775	0	8167	3299	92	197	3	1	29	9505	13	2	3485	0	311	0	1	2208	1891	984	35652	4857	0	7730	2	2341	13376	0	8608	5	4179	5466	18163	509
ASV4	13003	1508	20090	5842	0	8570	0	1888	3239	380	0	1781	0	1978	39209	708	799	8	3981	2	0	7	0	0	0	0	10675	657	349	502	33	1791	717	15	1928	1556	670	17	3915	10	3314	27	1319	1553	5404	2296	0	10028	1	307	1	11849	39	2147	13498	1758	22177	1389	13395	1377
ASV5	1518	2474	2097	5096	0	1362	10442	758	7720	4552	0	10	0	11090	7373	866	754	51	411	0	0	794	0	0	0	688	6847	4009	3393	741	23	2894	1373	24666	10969	6687	1147	30393	2170	1501	612	5	11873	1273	1508	5412	0	6767	6789	3073	487	3240	77	3265	3127	123	2420	4903	997	5410
ASV6	30142	47	8494	142	0	38056	0	1414	5548	31	0	163	0	0	18636	215	6666	3	28645	0	0	367	0	0	0	9872	1	504	3	14	0	2	6410	1	5	28547	7	216	632	255	778	3	5	361	2345	3973	0	232	0	64	1986	500	2	221	37	3094	0	7677	151	239
ASV7	0	0	25	0	8690	2	2532	1814	0	0	22	0	7	3355	3	450	0	17559	27	1736	17583	7	25153	478	23927	5341	1750	0	1031	0	0	0	5	3126	4798	57	5812	1	0	3	0	0	10127	0	0	43	35478	22	66	1183	1174	1	1252	22	464	0	4234	56	21	142
ASV8	14715	204	952	2703	0	14	0	0	3670	10350	0	650	0	0	10	179	2707	2	11	0	0	0	0	0	0	32705	2	2	2	30717	0	6177	2445	104	59	11	2	15	22	415	477	5	3	821	21619	1662	0	1	0	120	21719	877	0	4	7838	2	20	14033	72	0
ASV9	183	35	3636	1206	0	548	0	0	61	413	0	2029	1	1	5529	1115	694	44794	306	2	0	12	0	0	0	1	852	32	14809	2428	30	9743	4	13349	0	3169	4220	1838	718	24	85	4	1	1585	1742	129	4115	1015	2215	1237	0	74	8540	2	5612	38	2036	2999	7235	138
ASV10	0	0	26	0	6740	22	407	327	1	0	392	569	55828	8	2	1	109	104	5	13210	1	10127	22540	1422	33251	13	59	13	0	0	0	0	0	0	19	0	0	0	0	4	0	0	0	0	0	2	225	0	5	1	454	0	3	0	1	0	971	0	0	2
ASV11	0	4	519	142	33147	3507	0	0	0	2077	0	0	16006	0	7301	11010	23	0	1218	10557	0	0	18497	0	0	6	86	0	613	0	10	65	0	0	0	177	7894	12696	0	95	0	10	0	33	359	0	13	99	2	36	6392	3	315	0	860	0	1	2636	1824	42
ASV12	0	8558	0	0	0	0	0	40771	0	0	0	0	0	0	0	0	738	0	0	0	0	1109	0	0	0	0	0	20325	0	0	0	5104	0	0	602	0	1	0	8495	50	10541	0	0	1530	0	36	0	0	0	8623	0	22160	0	0	12	7163	0	0	0	0
ASV13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10900	118	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6404	0	43957	0	0	0	0	5902	0	2640	0	0	0	8447	0	0	0	0	0	52284	0	0	0	0
ASV14	16849	2774	10	6830	0	5239	16275	15	21	3712	2	815	0	4356	4	523	13	0	3983	0	0	6	960	0	0	0	2	2860	1	198	0	153	0	2350	2844	2276	2610	12	4652	581	0	0	5	655	1	42	0	10982	10	517	12	2330	5694	6	3353	1	20211	1251	262	1191
ASV15	2435	68	6723	5965	0	1	5825	13	4887	17647	0	193	363	163	87	9172	236	0	343	0	0	9	0	0	0	0	2	3084	3940	2155	14	67	518	203	312	18	240	216	86	12	481	3	10899	1352	582	7702	0	7038	97	1329	3675	3869	1280	6991	331	0	1875	0	10190	4679
ASV16	0	8	15	0	6283	0	13	2	2	0	13527	610	1	0	44	2	1	156	49	107	24855	5930	33178	0	24	2	22	0	3123	50	0	6	0	37	5025	5	64	1	32	5	0	0	60	0	0	0	0	1	1	5858	8286	886	12188	240	163	26	1199	1	1237	149
ASV17	1303	1271	1995	1147	0	4037	122	283	3323	9067	0	389	92	907	919	6310	779	5	1975	0	0	5382	0	0	0	3	2182	2063	3695	1343	15	6440	378	14127	2440	6496	403	3439	1667	5278	124	0	30	2181	1169	1218	0	1986	278	6834	1180	1100	31	570	529	125	768	2310	10241	2577
ASV18	0	0	1	7255	0	0	1	274	0	0	0	555	0	0	0	37561	34	0	0	0	1	0	0	0	2	0	0	0	19720	6776	0	6593	1	0	0	0	20411	0	2	0	0	0	0	0	0	0	0	8930	5052	0	0	3	0	0	0	0	0	0	4	0
ASV19	1	3	33	0	888	0	79	17329	0	3	111	836	56650	1	0	2	0	2442	2	3869	1	8967	2185	1378	11620	25	54	5	0	3	0	0	1	0	36	0	0	0	0	2	0	0	0	1	1	1	3141	0	27	2	271	0	17	0	1	0	534	0	2	2
ASV20	5	4764	0	807	0	2245	0	0	6933	20223	0	637	0	0	0	1289	3609	0	2008	0	0	31	0	0	0	334	0	725	2858	1674	0	2650	3899	229	1494	0	2	1566	385	0	559	29	1	732	8	14893	0	5223	0	57	14180	178	10	4697	215	1	0	868	1803	4116
ASV21	5301	180	7684	6038	0	594	0	88	2311	744	1	2333	0	0	845	2331	7863	0	677	0	0	0	0	1	0	0	44	1331	195	1040	0	3530	72	0	1820	7234	14	24197	2195	4969	290	1	1	263	2720	6972	2	1805	2	32	1	148	3	807	1989	5	0	401	4540	768
ASV22	0	7252	0	0	0	0	0	13640	0	0	0	0	0	0	0	0	2681	0	0	0	0	301	0	0	0	0	5647	3056	0	0	0	35	2	2	237	1	0	0	3831	229	19406	0	0	1338	0	43	0	0	0	2711	0	17371	0	0	37	20431	0	1	0	0
ASV23	49	125	21755	907	9027	31	395	0	57	43	127	0	7	303	43	32	189	158	19	134	4263	10851	1232	6	22386	12	215	3456	119	4	0	35	1	576	4684	768	188	235	14	835	0	3	4	80	36	18	51	53	4	8074	60	64	87	563	754	40	394	894	1596	1087
ASV24	0	1	15530	0	0	12238	0	0	1318	49	0	57	0	0	0	2	2452	2	30466	0	0	152	0	0	0	0	0	216	0	5461	0	7479	2171	15	1	0	0	0	2	132	1	0	0	3686	0	5	0	0	0	393	1	2	6	4747	0	4	0	22	1676	2046
ASV25	118	1377	1	769	0	2	0	1	1230	0	0	0	0	0	4	79	71	0	45	0	0	0	0	0	0	41	1	0	99	2	0	4	12	348	29	58	37	122	325	3	4	0	0	2536	7	11	0	37826	0	0	4	0	14	13842	1608	2	0	11	13326	6523
ASV26	1543	1271	108	2377	0	2370	2272	391	5305	3053	0	105	0	8874	11	3289	14	3	991	0	0	219	18	0	0	1	23	2034	2271	1757	19	740	445	309	229	2909	706	510	253	51	193	2	1687	2199	699	712	0	3255	13	3837	306	94	4940	907	595	381	1545	12	12632	639
ASV27	0	1	20	0	0	17279	0	0	1820	13	0	2	0	0	0	0	4054	0	43995	0	0	1	0	0	0	0	0	0	0	2	0	1820	2	0	19	0	0	1	155	0	47	0	0	3	0	0	0	0	0	3	0	73	2	2726	1	751	0	1415	2361	1437
ASV28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74829	5	0	7	0	0	0	0	0	1	3	0	0	0	2273	0	0	0	0	0	0
ASV29	1287	377	215	249	0	495	0	11	13529	1378	0	507	0	23463	81	860	12	0	2048	0	0	8197	0	0	0	0	42	151	15	185	17	2644	17	183	58	211	146	0	144	957	23	0	150	1126	365	462	0	1159	8701	444	0	437	19	513	824	0	2276	0	3	2260
ASV30	2591	3904	323	5418	0	894	245	647	3206	2564	0	18	11	16359	97	1446	237	0	639	0	0	947	0	0	9	2	2996	1567	564	1360	1	161	1904	778	1268	29	283	2731	869	2646	84	0	117	1113	371	604	0	647	225	631	58	923	309	3262	357	544	6357	528	275	2239
