Order	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL7	SMPL8	SMPL9
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	905	0	0	1154	595	0	0	0	0	0	2305	0	386	0	0	0	2	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;?;?;?	0	0	0	0	0	0	0	1	11051	0	0	2	0	0	0	0	0	3	0	0	0	0	0	43819	0	0	0	0	0	0	157	0	0	0	185	3241	0	0	0	0	525	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;?;?	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;?	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Blastocatellia;11-24	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Blastocatellia;?	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Holophagae;Subgroup 7	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Subgroup 18;?	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales	0	0	2	0	0	2	0	2	363	22	0	2	6	2	4	112	0	0	0	0	0	0	0	4	0	3	0	0	0	1	1	5	0	2	25	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	3	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales	873	1591	0	0	5440	0	0	55	430	0	0	0	87	0	0	0	1	0	1	614	2	3	896	0	0	55	2908	0	29	0	0	815	1292	0	0	0	0	1	5173	84	13	0	0	0	2064	0	3	47	6	1789	0	0	0	4432	8	5268	0	0	1904	2691
Bacteria;Actinobacteriota;?;?	62	0	0	0	0	0	16	113	136	0	1	0	36	0	0	0	0	0	0	0	0	0	1	28	0	1	0	0	5	3	0	9	4	6	0	0	0	0	0	3	8	0	1	0	0	5	0	1	3502	4	4	0	0	1	6	0	0	4	3	5
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;?	2041	814	3	48	26	1168	1545	2070	737	5	184	1	825	0	2009	1	0	193	500	1023	343	447	454	1581	7	323	21	2790	146	1382	918	1526	793	183	17	133	0	3	707	1049	2588	0	1020	542	292	1183	16	1620	1743	516	1228	2	14	1021	5619	2342	14393	11	2154	1817
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales	28	13	4	16	18	8	5	62	562	20	4	14	131	55	262	1133	471	89	7	8	13	4	2	4	0	30	0	47	57	45	7	43	5	68	756	0	0	17	10	24	16	8	3	25	9	16	5	0	1	5	24	1	12	4	45	2	64	2	14	17
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales	267	259	6	6131	19963	4	15040	19471	1426	63381	2173	20489	6207	20	313	18755	337	1021	1239	12695	44	22534	2977	5636	63	14427	5	14960	8	5558	12746	23073	904	253	42261	200	14	3	3164	4485	203	8639	2110	15859	1716	6793	8918	211	10324	2	9552	125	2476	7253	16546	959	100	2	68	5725
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales	0	0	2	8551	1	3	0	5	141	1	0	39	2	0	1	16	4	6	0	1	0	2	0	0	0	6	0	0	0	0	6	1	0	6	11	0	0	4	0	0	0	23	1	0	0	0	1	0	0	0	0	0	1	2	3	0	0	0	0	8
Bacteria;Actinobacteriota;Actinobacteria;Frankiales	0	0	0	0	0	0	0	0	544	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales	0	1	1	169	0	0	0	0	811	40	0	17	67	10	49	369	0	216	2	35	18	1	0	55	0	1	2	10	0	3	1	20	3	39	83	0	0	2	3	0	2	2	0	0	29	0	0	0	1	0	8	0	4	4	1	0	23	6	4	1
Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales	0	0	0	507	0	0	1	0	98	0	0	0	2	2	0	18	0	6	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales	0	0	0	2	0	0	0	0	339	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales	6842	483	1	2735	0	0	1016	2573	9951	0	838	0	16138	0	328	0	1	1	27767	61	2279	562	6875	6599	1	5299	1389	878	2583	8480	51	26680	3169	5686	8	776	14	161	571	3155	10515	3	2167	6	451	1028	67	529	7	1069	2296	2350	98	9329	4851	1408	1	189	6134	1327
Bacteria;Actinobacteriota;MB-A2-108;?	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales	0	0	0	0	0	0	0	0	722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	794	46	0	0	9	27	163	387	11	1	210	0	263	0	135	28	0	0	0	3	37	22	13	565	0	7	3	26	16	28	7	14	3	14	0	3	0	8	8	6	36	1	64	1	17	464	19	9	29	20	6	0	54	13	34	25	291	61	171	687
Bacteria;Bacteroidota;?;?	129	1	0	0	0	0	72	0	2	0	16	0	54	0	2	0	0	0	0	0	0	0	6	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	60	2	0	0	3	1	3	0	5	4	2	0	5	1	22
Bacteria;Bacteroidota;Bacteroidia;?	0	3	0	0	0	0	0	0	229	0	260	0	52	0	1	5	6	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	2	0	0	1	2	5	1	0	0	16	6
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	42844	77189	1	3496	2443	100	27834	4208	68240	40	121434	1905	43599	2569	4565	923	1	2	14037	46485	64251	3545	38142	3543	176	45354	106736	2831	4587	74417	57844	2619	58495	2220	72	92133	41	33	54734	75761	37195	0	62457	171	58678	86421	66359	84326	13920	55469	29668	77996	284	65933	18890	70387	53543	97885	49382	13841
