Phylum	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL7	SMPL8	SMPL9
Archaea;Crenarchaeota	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	905	0	0	1154	595	0	0	0	0	0	2305	0	386	0	0	0	2	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;?	0	0	0	0	0	0	0	1	11051	0	0	2	0	0	0	0	0	3	0	0	0	0	0	43819	0	0	0	0	0	0	157	0	0	0	185	3241	0	0	0	0	525	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Acidobacteria	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota	0	0	0	0	0	0	0	0	1487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria	873	1591	2	0	5440	2	0	57	793	22	0	2	93	2	4	112	1	0	1	614	2	3	896	4	0	58	2908	0	29	1	1	820	1292	2	25	0	0	1	5173	84	13	1	0	0	2064	2	3	47	6	1789	0	3	3	4432	8	5268	0	0	1904	2692
Bacteria;Actinobacteriota	9240	1570	17	18159	20008	1183	17623	24294	16694	63447	3200	20563	23408	87	2962	20292	813	1541	29516	13825	2697	23550	10309	13906	71	20087	1417	18685	2799	15472	13729	51352	4878	6246	43139	1109	28	190	4456	8716	13332	8675	5302	16432	2497	9025	9007	2361	15578	1596	13112	2478	2607	17614	27071	4711	14582	214	8377	8900
Bacteria;Bacteroidetes	794	46	0	0	9	27	163	387	11	1	210	0	263	0	135	28	0	0	0	3	37	22	13	565	0	7	3	26	16	28	7	14	3	14	0	3	0	8	8	6	36	1	64	1	17	464	19	9	29	20	6	0	54	13	34	25	291	61	171	687
Bacteria;Bacteroidota	42973	77193	1	3541	2443	100	27906	4211	69037	40	121710	1905	43705	2569	4568	928	7	2	14037	46485	64251	3545	38203	3553	176	45356	106784	2831	4587	74418	57844	2619	58495	2220	72	92133	41	33	54734	75764	37196	0	62460	171	58678	86800	66361	84326	13921	55474	29669	77999	289	66046	18900	70422	53543	97890	49399	13869
Bacteria;Bdellovibrionota	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Campylobacterota	2	1	0	222	0	0	60	0	0	0	0	0	96	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	140	0	0	0	1	0	5	0	1	0	28	0	2	0
Bacteria;Chloroflexi	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria	0	7	2	2	14	0	0	1	57	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	12	0	126	0	5	0	62	0	0	0	0	4	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	54	3	0	134	1
Bacteria;Desulfobacterota	20	250	0	65	0	0	0	1	320	0	0	0	0	0	0	0	0	0	0	0	7	0	71	16	0	0	272	52	172	184	0	341	8	0	0	88	0	0	43	829	94	0	8	0	0	0	20	5	0	115	0	0	3	285	1	10	0	0	550	13
Bacteria;Firmicutes	126005	101036	6807	63613	5057	177669	140746	151809	55806	45856	58253	13536	97631	30091	84788	58823	2900	81646	100588	109501	99270	141060	118557	119364	478	104311	52331	144026	94221	78548	94722	116378	114054	161415	46619	58659	114	152216	94276	91175	114642	118175	108375	115353	105538	85187	83363	75532	96700	111104	123490	84541	143739	76839	120923	87693	110324	62213	124361	154312
Bacteria;Fusobacteriota	0	3	0	50	0	0	19	7	16	0	0	0	9	0	2	14	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	7	0	4	0	7	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	1	1	0
Bacteria;Methylomirabilota	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Myxococcota	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Nitrospirae	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Patescibacteria	0	0	6	45	2	4	0	4	103	2	7	0	13	2	9	28	0	0	0	1	0	0	1	0	0	0	1	2	0	1	0	20	2	2	16	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	5	0	2	2	12	0	0	1	0	1
Bacteria;Proteobacteria	1624	997	183415	140314	155815	5357	1566	4077	29739	80615	1433	154498	21478	157130	92608	107135	181802	103644	26188	2064	763	5771	2135	298	13	372	4377	5939	67144	209	3156	298	456	800	95682	14865	11	20025	6931	7800	104	47986	2123	38999	8714	1309	13639	3287	47541	674	6322	2502	30534	2933	4986	371	5322	20438	119	1989
Bacteria;Synergistota	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Verrucomicrobiota	1	2870	0	24	0	0	0	0	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	250	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Eukaryota;Vertebrata	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
noHit;	0	17	117	26458	0	0	23	0	4055	0	2	70	2	73	205	3	160	309	0	0	0	0	0	0	0	0	14	1	2	22	0	1	0	42	0	17	0	34	0	1	0	21	0	0	0	0	0	0	10	1	48	2	21	11	12	0	0	0	2	9
