Номер пробы (кал)	GROUP
К-004	KRN
К-007	KLT
К-008	KRN
К-009	KRN
К-010	KRN
К-011	KLT
К-013	KRN
К-015	KRN
К-016	KLT
К-017	KLT
К-018	KLT
К-019	KLT
К-020	KRN
К-022	KLT
К-023	KRN
К-024	KRN
К-025	KLT
К-026	KRN
К-028	KLT
К-029	KLT
К-030	KLT
К-031	KLT
К-033	KLT
К-034	KLT
К-035	KRN
К-036	KLT
К-037	KLT
К-038	KRN
К-039	KRN
К-040	KRN
К-041	KLT
К-042	KLT
К-044	KRN
К-045	KLT
К-046	KLT
К-047	KRN
К-048	KRN
К-050	KLT
К-051	KRN
К-053	KRN
К-054	KLT
К-055	KRN
К-056	KLT
К-057	KLT
К-059	KRN
К-060	KLT
К-062	KRN
К-063	KLT
К-066	KRN
К-068	KRN
К-069	KRN
К-070	KLT
К-072	KRN
К-078	KRN
К-079	KLT
К-081	KRN
К-084	KLT
К-087	KRN
К-091	KLT
