#SampleID	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL7	SMPL8	SMPL9
GROUP	KLT	KRN	KRN	KLT	KRN	KLT	KRN	KRN	KRN	KLT	KRN	KRN	KLT	KLT	KRN	KLT	KRN	KLT	KRN	KRN	KLT	KLT	KLT	KLT	KLT	KRN	KLT	KRN	KRN	KRN	KLT	KLT	KLT	KLT	KLT	KRN	KLT	KLT	KRN	KRN	KRN	KRN	KLT	KLT	KLT	KLT	KRN	KLT	KRN	KLT	KRN	KLT	KLT	KRN	KRN	KRN	KRN	KRN	KLT
d_Archaea|p_Crenarchaeota|c_Nitrososphaeria|o_Nitrosopumilales|f_Nitrosopumilaceae|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00505481862134905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanobrevibacter|s_Methanobrevibacter smithii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011177569273370731	0.0	0.0	0.0	0.0	0.0399376024390321	0.0	0.0	0.030865926798847622	0.009920496661788156	0.0	0.0	0.0	0.0	0.0	0.03910030921768661	0.0	0.009868470245891308	0.0	0.0	0.0	0.0	0.0	0.0	0.00319263165419418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanosphaera|s_Methanosphaera stadtmanae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004066933465614576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.324566398327534e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_?|c_?|o_?|f_?|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.154601780946469e-06	0.04174947726795841	0.0	0.0	1.7524513766489957e-05	0.0	0.0	0.0	0.0	0.0	2.0477675125290197e-05	0.0	0.0	0.0	0.0	0.2267545870323297	0.0	0.0	0.0	0.0	0.0	0.0	0.0010526220352711309	0.0	0.0	0.0	0.0014283660201271002	0.023734108004610573	0.0	0.0	0.0	0.0	0.002237023695635983	0.0	0.0	0.0	0.0	0.0	0.0	0.00266052637849515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1102897575135315e-06	0.0	0.0
d_Bacteria|p_Acidobacteria|c_Acidobacteriia|o_Acidobacteriales|f_Koribacteraceae|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00038534491732257335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_?|o_?|f_?|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002720081769335812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_?|f_?|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019267245866128669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Acidobacteriales|f_?|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016547164096792856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Acidobacteriales|f_Acidobacteriaceae (Subgroup 1)|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011673684260066193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Acidobacteriales|f_Acidobacteriaceae (Subgroup 1)|g_Terriglobus|s_Terriglobus albidus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020627286750796573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
