	Номер пробы (кал)	GROUP
0	К-004	KRN
1	К-007	KLT
2	К-008	KRN
3	К-009	KRN
4	К-010	KRN
5	К-011	KLT
6	К-013	KRN
7	К-015	KRN
8	К-016	KLT
9	К-017	KLT
10	К-018	KLT
11	К-019	KLT
12	К-020	KRN
13	К-022	KLT
14	К-023	KRN
15	К-024	KRN
16	К-025	KLT
17	К-026	KRN
18	К-028	KLT
19	К-029	KLT
20	К-030	KLT
21	К-031	KLT
22	К-033	KLT
23	К-034	KLT
24	К-035	KRN
25	К-036	KLT
26	К-037	KLT
27	К-038	KRN
28	К-039	KRN
29	К-040	KRN
30	К-041	KLT
31	К-042	KLT
32	К-044	KRN
33	К-045	KLT
34	К-046	KLT
35	К-047	KRN
36	К-048	KRN
37	К-050	KLT
38	К-051	KRN
39	К-053	KRN
40	К-054	KLT
41	К-055	KRN
42	К-056	KLT
43	К-057	KLT
44	К-059	KRN
45	К-060	KLT
46	К-062	KRN
47	К-063	KLT
48	К-066	KRN
49	К-068	KRN
50	К-069	KRN
51	К-070	KLT
52	К-072	KRN
53	К-078	KRN
54	К-079	KLT
55	К-081	KRN
56	К-084	KLT
57	К-087	KRN
58	К-091	KLT
