,OTU,Taxonomy,#SampleID,GROUP,Value
0,ASV0001,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL0,KLT,0
1,ASV0002,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL1,KRN,0
2,ASV0003,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL10,KRN,0
3,ASV0004,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL11,KLT,0
4,ASV0005,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL12,KRN,0
5,ASV0006,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL13,KLT,0
6,ASV0007,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL14,KRN,0
7,ASV0008,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL15,KRN,0
8,ASV0009,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL16,KRN,223
9,ASV0010,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL17,KLT,0
10,ASV0011,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL18,KRN,0
11,ASV0012,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL19,KRN,0
12,ASV0013,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL2,KLT,0
13,ASV0014,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL20,KLT,0
14,ASV0015,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL21,KRN,0
15,ASV0016,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL22,KLT,0
16,ASV0017,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL23,KRN,0
17,ASV0018,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL24,KLT,0
18,ASV0019,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL25,KRN,0
19,ASV0020,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL27,KRN,0
20,ASV0021,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL28,KLT,0
21,ASV0022,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL29,KLT,0
22,ASV0023,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL3,KLT,0
23,ASV0024,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL30,KLT,0
24,ASV0025,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL31,KLT,0
25,ASV0026,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL32,KRN,0
26,ASV0027,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL33,KLT,0
27,ASV0028,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL34,KRN,0
28,ASV0029,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL35,KRN,0
29,ASV0030,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;?,SMPL36,KRN,0
